"type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"white",8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12
"white",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7
"white",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8
"white",8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7
"white",6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5
"white",7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3
"white",5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2
"white",7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8
"white",6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10
"white",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6
"white",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6
"white",6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8
"white",6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8
"white",6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8
"white",7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5
"white",6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1
"white",6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8
"white",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5
"white",6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5
"white",6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10
"white",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5
"white",7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3
"white",6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9
"white",7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10
"white",7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7
